"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
1.603241927E0;2.182724774E-1;-3.547660261E-2;2.673511803E-1
1.608166979E0;2.299903929E-1;-2.908502333E-2;2.364585549E-1
1.613096198E0;2.225335538E-1;-3.015028685E-2;2.045006305E-1
1.618021250E0;2.001630217E-1;-3.441134095E-2;1.693469435E-1
1.622946354E0;1.714009047E-1;-4.719450325E-2;1.373890340E-1
1.627871458E0;1.341166794E-1;-6.210819259E-2;1.033006012E-1
1.632796510E0;1.032240316E-1;-8.234819770E-2;6.814689934E-2
1.637721562E0;8.404928446E-2;-1.015229449E-1;3.618900105E-2
1.642649739E0;7.233139127E-2;-1.206976846E-1;1.062267460E-2
1.647574791E0;6.593981385E-2;-1.313503236E-1;-1.600891352E-2
1.652499896E0;6.061349064E-2;-1.324155778E-1;-3.837944940E-2
1.657425000E0;4.783033580E-2;-1.281545311E-1;-5.861945823E-2
1.662350052E0;2.865558863E-2;-1.175018921E-1;-6.927209347E-2
1.667275104E0;1.054610871E-2;-1.025882065E-1;-7.566367090E-2
1.672201771E0;3.089264035E-3;-8.341345936E-2;-7.672893256E-2
1.677126875E0;9.480845183E-3;-5.891240016E-2;-7.885946333E-2
1.682051927E0;2.545979805E-2;-3.441134095E-2;-7.779420167E-2
1.686977031E0;3.930822015E-2;-7.779752836E-3;-6.714156270E-2
1.691902083E0;4.783033580E-2;2.417815290E-2;-5.329313502E-2
1.696827135E0;4.569980502E-2;5.507079139E-2;-3.518365696E-2
1.701754791E0;3.611243516E-2;9.022448957E-2;-1.600891352E-2
1.706679896E0;2.652506158E-2;1.200518683E-1;7.426884025E-3
1.711604948E0;2.759032510E-2;1.413571388E-1;3.405847400E-2
1.716530052E0;3.717769682E-2;1.552055627E-1;6.069006026E-2
1.721455104E0;4.996085912E-2;1.647929400E-1;8.199532330E-2
1.726380156E0;6.061349064E-2;1.679887325E-1;1.001048088E-1
1.731306823E0;6.913559884E-2;1.647929400E-1;1.139532328E-1
1.736231927E0;6.700507551E-2;1.552055627E-1;1.182142869E-1
1.741156979E0;5.422191322E-2;1.424223930E-1;1.128879711E-1
1.746082083E0;3.611243516E-2;1.253781766E-1;9.051743150E-2
1.751007135E0;1.374189928E-2;1.125950217E-1;6.388584524E-2
1.755932187E0;-1.182442531E-2;1.019423902E-1;3.192794695E-2
1.760858854E0;-2.780337818E-2;9.022448957E-2;-1.174785942E-2
1.765783958E0;-3.739074618E-2;8.170238137E-2;-5.648892745E-2
1.770709010E0;-4.058653861E-2;7.744132727E-2;-1.033605263E-1
1.775634114E0;-4.271706939E-2;7.637606561E-2;-1.502321064E-1
1.780559166E0;-4.058653861E-2;7.318027318E-2;-1.992342323E-1
1.785484219E0;-4.697812349E-2;7.637606561E-2;-2.503668666E-1
1.790409271E0;-6.189180911E-2;8.596343547E-2;-2.951079607E-1
1.795334375E0;-8.213181794E-2;9.555081278E-2;-3.323921859E-1
1.800259427E0;-9.917603433E-2;1.083339676E-1;-3.654153347E-1
1.805184531E0;-1.119591966E-1;1.253781766E-1;-3.909816444E-1
1.810109583E0;-1.194160357E-1;1.445529312E-1;-4.101563990E-1
1.815034635E0;-1.215465665E-1;1.669234782E-1;-4.165479839E-1
