t.m;t.s;t.ms;kinect_foot_right.x;kinect_foot_right.y;kinect_foot_right.z;kinect_foot_left.x;kinect_foot_left.y;kinect_foot_left.z;kinect_hand_right.x;kinect_hand_right.y;kinect_hand_right.z;kinect_hand_left.x;kinect_hand_left.y;kinect_hand_left.z;imu_acceleration.x;imu_acceleration.y;imu_acceleration.z;imu_gravity.x;imu_gravity.y;imu_gravity.z;imu_orientation.x;imu_orientation.y;imu_orientation.z;imu_orientation.w;imu_yaw;imu_pitch;imu_roll;kinect_foot_right_orientation.x;kinect_foot_right_orientation.y;kinect_foot_right_orientation.z;kinect_foot_right_orientation.w;kinect_foot_left_orientation.x;kinect_foot_left_orientation.y;kinect_foot_left_orientation.z;kinect_foot_left_orientation.w;kinect_hand_right_orientation.x;kinect_hand_right_orientation.y;kinect_hand_right_orientation.z;kinect_hand_right_orientation.w;kinect_hand_left_orientation.x;kinect_hand_left_orientation.y;kinect_hand_left_orientation.z;kinect_hand_left_orientation.w
0;25;446;0;0;0;0;0;0;0;0;0;0;0;0;-0,396425;-2,293688;0,499471;-0,438973;0,196305;0,876714;-0,116028;0,219421;0,762939;0,596863;-105,1616;-26,04036;11,32177;0;0;0;1;0;0;0;1;-0,3856942;0,8373001;-0,2053993;0,3286028;-0,01257069;-0,6962062;-0,03032017;0,7170911
0;25;457;0;0;0;0;0;0;0;0;0;0;0;0;-0,396425;-2,293688;0,499471;-0,438973;0,196305;0,876714;-0,116028;0,219421;0,762939;0,596863;-105,1616;-26,04036;11,32177;0;0;0;1;0;0;0;1;-0,3856942;0,8373001;-0,2053993;0,3286028;-0,01257069;-0,6962062;-0,03032017;0,7170911
0;25;467;0,4806567;-0,7996135;0,929285;-0,2383513;-0,4232824;1,057527;0,1800824;0,4952946;1,053022;-0,205403;0,00715897;1,005171;-0,396425;-2,293688;0,499471;-0,438973;0,196305;0,876714;-0,116028;0,219421;0,762939;0,596863;-105,1616;-26,04036;11,32177;0;0;0;1;0;0;0;1;-0,3861766;0,8366289;-0,2061573;0,3292702;-0,004754637;-0,7722342;-0,02436472;0,6348528
0;25;476;0;0;0;0;0;0;0;0;0;0;0;0;-0,396425;-2,293688;0,499471;-0,438973;0,196305;0,876714;-0,116028;0,219421;0,762939;0,596863;-105,1616;-26,04036;11,32177;0;0;0;1;0;0;0;1;-0,3861766;0,8366289;-0,2061573;0,3292702;-0,004754637;-0,7722342;-0,02436472;0,6348528
0;25;484;0;0;0;0;0;0;0;0;0;0;0;0;-0,396425;-2,293688;0,499471;-0,438973;0,196305;0,876714;-0,116028;0,219421;0,762939;0,596863;-105,1616;-26,04036;11,32177;0;0;0;1;0;0;0;1;-0,3861766;0,8366289;-0,2061573;0,3292702;-0,004754637;-0,7722342;-0,02436472;0,6348528
0;25;496;0,4806216;-0,7994864;0,9291778;-0,2382006;-0,4234066;1,057292;0,1803316;0,4953023;1,052893;-0,2051391;0,007246426;1,004695;-0,118806;-2,15306;0,498259;-0,457995;0,204378;0,86502;-0,121765;0,22937;0,761047;0,59436;-105,3581;-27,26092;11,79437;0;0;0;1;0;0;0;1;-0,3866267;0,8359711;-0,2068982;0,3299476;-0,02520077;-0,723147;-0,01401509;0,690092
0;25;505;0;0;0;0;0;0;0;0;0;0;0;0;-0,118806;-2,15306;0,498259;-0,457995;0,204378;0,86502;-0,121765;0,22937;0,761047;0,59436;-105,3581;-27,26092;11,79437;0;0;0;1;0;0;0;1;-0,3866267;0,8359711;-0,2068982;0,3299476;-0,02520077;-0,723147;-0,01401509;0,690092
0;25;515;0;0;0;0;0;0;0;0;0;0;0;0;-0,118806;-2,15306;0,498259;-0,457995;0,204378;0,86502;-0,121765;0,22937;0,761047;0,59436;-105,3581;-27,26092;11,79437;0;0;0;1;0;0;0;1;-0,3866267;0,8359711;-0,2068982;0,3299476;-0,02520077;-0,723147;-0,01401509;0,690092
0;25;523;0;0;0;0;0;0;0;0;0;0;0;0;-0,118806;-2,15306;0,498259;-0,457995;0,204378;0,86502;-0,121765;0,22937;0,761047;0,59436;-105,3581;-27,26092;11,79437;0;0;0;1;0;0;0;1;-0,3866267;0,8359711;-0,2068982;0,3299476;-0,02520077;-0,723147;-0,01401509;0,690092
0;25;533;0,4805779;-0,7993568;0,9290587;-0,2380203;-0,4235266;1,056991;0,1805758;0,4953112;1,052764;-0,2047697;0,007337454;1,003787;-0,118806;-2,15306;0,498259;-0,457995;0,204378;0,86502;-0,121765;0,22937;0,761047;0,59436;-105,3581;-27,26092;11,79437;0;0;0;1;0;0;0;1;-0,3870342;0,8353522;-0,207593;0,3305999;-0,04143042;-0,6723338;-0,002659106;0,739083
0;25;544;0;0;0;0;0;0;0;0;0;0;0;0;-0,138203;-1,848771;0,695865;-0,468601;0,209446;0,858134;-0,124634;0,235291;0,75946;0,593506;-105,3982;-27,94584;12,09081;0;0;0;1;0;0;0;1;-0,3870342;0,8353522;-0,207593;0,3305999;-0,04143042;-0,6723338;-0,002659106;0,739083
0;25;553;0;0;0;0;0;0;0;0;0;0;0;0;-0,138203;-1,848771;0,695865;-0,468601;0,209446;0,858134;-0,124634;0,235291;0,75946;0,593506;-105,3982;-27,94584;12,09081;0;0;0;1;0;0;0;1;-0,3870342;0,8353522;-0,207593;0,3305999;-0,04143042;-0,6723338;-0,002659106;0,739083
0;25;564;0,4805271;-0,7992274;0,9289299;-0,2378205;-0,4236356;1,056644;0,1808093;0,4953189;1,052639;-0,2044092;0,007411774;1,002961;-0,138203;-1,848771;0,695865;-0,468601;0,209446;0,858134;-0,124634;0,235291;0,75946;0,593506;-105,3982;-27,94584;12,09081;0;0;0;1;0;0;0;1;-0,3873956;0,8347725;-0,2082423;0,3312322;-0,05295161;-0,6259826;0,008146834;0,7779946
0;25;579;0;0;0;0;0;0;0;0;0;0;0;0;-0,138203;-1,848771;0,695865;-0,468601;0,209446;0,858134;-0,124634;0,235291;0,75946;0,593506;-105,3982;-27,94584;12,09081;0;0;0;1;0;0;0;1;-0,3873956;0,8347725;-0,2082423;0,3312322;-0,05295161;-0,6259826;0,008146834;0,7779946
0;25;588;0;0;0;0;0;0;0;0;0;0;0;0;-0,138203;-1,848771;0,695865;-0,468601;0,209446;0,858134;-0,124634;0,235291;0,75946;0,593506;-105,3982;-27,94584;12,09081;0;0;0;1;0;0;0;1;-0,3873956;0,8347725;-0,2082423;0,3312322;-0,05295161;-0,6259826;0,008146834;0,7779946
0;25;599;0,4804612;-0,7990918;0,9287765;-0,2375863;-0,4237303;1,056218;0,1810404;0,4953269;1,05251;-0,2041472;0,007452167;1,00227;-0,138203;-1,848771;0,695865;-0,468601;0,209446;0,858134;-0,124634;0,235291;0,75946;0,593506;-105,3982;-27,94584;12,09081;0;0;0;1;0;0;0;1;-0,3876897;0,8341763;-0,2089096;0,331969;-0,06079327;-0,5846652;0,01767142;0,8088006
0;25;607;0;0;0;0;0;0;0;0;0;0;0;0;-0,138203;-1,848771;0,695865;-0,468601;0,209446;0,858134;-0,124634;0,235291;0,75946;0,593506;-105,3982;-27,94584;12,09081;0;0;0;1;0;0;0;1;-0,3876897;0,8341763;-0,2089096;0,331969;-0,06079327;-0,5846652;0,01767142;0,8088006
0;25;616;0;0;0;0;0;0;0;0;0;0;0;0;-0,138203;-1,848771;0,695865;-0,468601;0,209446;0,858134;-0,124634;0,235291;0,75946;0,593506;-105,3982;-27,94584;12,09081;0;0;0;1;0;0;0;1;-0,3876897;0,8341763;-0,2089096;0,331969;-0,06079327;-0,5846652;0,01767142;0,8088006
0;25;627;0;0;0;0;0;0;0;0;0;0;0;0;-0,138203;-1,848771;0,695865;-0,468601;0,209446;0,858134;-0,124634;0,235291;0,75946;0,593506;-105,3982;-27,94584;12,09081;0;0;0;1;0;0;0;1;-0,3876897;0,8341763;-0,2089096;0,331969;-0,06079327;-0,5846652;0,01767142;0,8088006
0;25;637;0,4804007;-0,7989573;0,9286331;-0,2373353;-0,4238091;1,055752;0,1812654;0,4953347;1,052373;-0,2039331;0,007475597;1,001684;-0,151539;-1,434161;1,014702;-0,488004;0,213721;0,846217;-0,131165;0,244263;0,75592;0,593018;-105,2697;-29,21095;12,34105;0;0;0;1;0;0;0;1;-0,3879492;0,8336024;-0,2095504;0,332703;-0,06664211;-0,5423568;0,02698868;0,8370661
0;25;645;0;0;0;0;0;0;0;0;0;0;0;0;-0,151539;-1,434161;1,014702;-0,488004;0,213721;0,846217;-0,131165;0,244263;0,75592;0,593018;-105,2697;-29,21095;12,34105;0;0;0;1;0;0;0;1;-0,3879492;0,8336024;-0,2095504;0,332703;-0,06664211;-0,5423568;0,02698868;0,8370661
0;25;658;0,4803304;-0,7988226;0,92848;-0,2371027;-0,4238754;1,055323;0,1814805;0,4953395;1,05223;-0,2037585;0,007491604;1,00121;-0,151539;-1,434161;1,014702;-0,488004;0,213721;0,846217;-0,131165;0,244263;0,75592;0,593018;-105,2697;-29,21095;12,34105;0;0;0;1;0;0;0;1;-0,388174;0,8330284;-0,2101894;0,3334742;-0,0560269;-0,711859;0,01464574;0,6999309
0;25;667;0;0;0;0;0;0;0;0;0;0;0;0;-0,151539;-1,434161;1,014702;-0,488004;0,213721;0,846217;-0,131165;0,244263;0,75592;0,593018;-105,2697;-29,21095;12,34105;0;0;0;1;0;0;0;1;-0,388174;0,8330284;-0,2101894;0,3334742;-0,0560269;-0,711859;0,01464574;0,6999309
0;25;676;0;0;0;0;0;0;0;0;0;0;0;0;-0,151539;-1,434161;1,014702;-0,488004;0,213721;0,846217;-0,131165;0,244263;0,75592;0,593018;-105,2697;-29,21095;12,34105;0;0;0;1;0;0;0;1;-0,388174;0,8330284;-0,2101894;0,3334742;-0,0560269;-0,711859;0,01464574;0,6999309
0;25;685;0;0;0;0;0;0;0;0;0;0;0;0;-0,151539;-1,434161;1,014702;-0,488004;0,213721;0,846217;-0,131165;0,244263;0,75592;0,593018;-105,2697;-29,21095;12,34105;0;0;0;1;0;0;0;1;-0,388174;0,8330284;-0,2101894;0,3334742;-0,0560269;-0,711859;0,01464574;0,6999309
0;25;696;0,4802398;-0,7986823;0,9282967;-0,2369516;-0,4239533;1,055067;0,1816853;0,4953397;1,05208;-0,2036197;0,0074942;1,000786;-0,151539;-1,434161;1,014702;-0,488004;0,213721;0,846217;-0,131165;0,244263;0,75592;0,593018;-105,2697;-29,21095;12,34105;0;0;0;1;0;0;0;1;-0,3883874;0,832508;-0,2107676;0,3341598;-0,05143;-0,7450045;0,01199109;0,6649657
0;25;704;0;0;0;0;0;0;0;0;0;0;0;0;-0,151539;-1,434161;1,014702;-0,488004;0,213721;0,846217;-0,131165;0,244263;0,75592;0,593018;-105,2697;-29,21095;12,34105;0;0;0;1;0;0;0;1;-0,3883874;0,832508;-0,2107676;0,3341598;-0,05143;-0,7450045;0,01199109;0,6649657
0;25;714;0;0;0;0;0;0;0;0;0;0;0;0;-0,151539;-1,434161;1,014702;-0,488004;0,213721;0,846217;-0,131165;0,244263;0,75592;0,593018;-105,2697;-29,21095;12,34105;0;0;0;1;0;0;0;1;-0,3883874;0,832508;-0,2107676;0,3341598;-0,05143;-0,7450045;0,01199109;0,6649657
0;25;723;0;0;0;0;0;0;0;0;0;0;0;0;-0,151539;-1,434161;1,014702;-0,488004;0,213721;0,846217;-0,131165;0,244263;0,75592;0,593018;-105,2697;-29,21095;12,34105;0;0;0;1;0;0;0;1;-0,3883874;0,832508;-0,2107676;0,3341598;-0,05143;-0,7450045;0,01199109;0,6649657
0;25;733;0,480134;-0,7985356;0,9280859;-0,236822;-0,4240203;1,054847;0,1818738;0,49534;1,051934;-0,2034775;0,007492383;1,00039;-0,151539;-1,434161;1,014702;-0,488004;0,213721;0,846217;-0,131165;0,244263;0,75592;0,593018;-105,2697;-29,21095;12,34105;0;0;0;1;0;0;0;1;-0,3885731;0,832003;-0,2113282;0,3348468;-0,05766227;-0,7119327;0,01613661;0,6996903
0;25;741;0;0;0;0;0;0;0;0;0;0;0;0;-0,151539;-1,434161;1,014702;-0,488004;0,213721;0,846217;-0,131165;0,244263;0,75592;0,593018;-105,2697;-29,21095;12,34105;0;0;0;1;0;0;0;1;-0,3885731;0,832003;-0,2113282;0,3348468;-0,05766227;-0,7119327;0,01613661;0,6996903
0;25;750;0;0;0;0;0;0;0;0;0;0;0;0;-0,151539;-1,434161;1,014702;-0,488004;0,213721;0,846217;-0,131165;0,244263;0,75592;0,593018;-105,2697;-29,21095;12,34105;0;0;0;1;0;0;0;1;-0,3885731;0,832003;-0,2113282;0,3348468;-0,05766227;-0,7119327;0,01613661;0,6996903
0;25;761;0,4800195;-0,798397;0,9278684;-0,2367068;-0,4240792;1,054657;0,1820545;0,4953382;1,051787;-0,2033412;0,00748754;1,000041;-0,151539;-1,434161;1,014702;-0,488004;0,213721;0,846217;-0,131165;0,244263;0,75592;0,593018;-105,2697;-29,21095;12,34105;0;0;0;1;0;0;0;1;-0,3887466;0,8315029;-0,2118856;0,3355348;-0,06276074;-0,6729358;0,02030911;0,7367538
0;25;771;0;0;0;0;0;0;0;0;0;0;0;0;-0,151539;-1,434161;1,014702;-0,488004;0,213721;0,846217;-0,131165;0,244263;0,75592;0,593018;-105,2697;-29,21095;12,34105;0;0;0;1;0;0;0;1;-0,3887466;0,8315029;-0,2118856;0,3355348;-0,06276074;-0,6729358;0,02030911;0,7367538
0;25;785;0;0;0;0;0;0;0;0;0;0;0;0;-0,305502;-1,385669;0,926204;-0,505493;0,215944;0,835268;-0,137268;0,251953;0,751892;0,593506;-105,0076;-30,36697;12,47203;0;0;0;1;0;0;0;1;-0,3887466;0,8315029;-0,2118856;0,3355348;-0,06276074;-0,6729358;0,02030911;0,7367538
0;25;797;0,479892;-0,7982974;0,9277084;-0,2371211;-0,4234872;1,056125;0,1822249;0,4953364;1,051642;-0,2032183;0,00748404;0,9997416;-0,305502;-1,385669;0,926204;-0,505493;0,215944;0,835268;-0,137268;0,251953;0,751892;0,593506;-105,0076;-30,36697;12,47203;0;0;0;1;0;0;0;1;-0,3889033;0,8310103;-0,2124379;0,3362237;-0,06623308;-0,6331762;0,02402803;0,7707942
0;25;806;0;0;0;0;0;0;0;0;0;0;0;0;-0,305502;-1,385669;0,926204;-0,505493;0,215944;0,835268;-0,137268;0,251953;0,751892;0,593506;-105,0076;-30,36697;12,47203;0;0;0;1;0;0;0;1;-0,3889033;0,8310103;-0,2124379;0,3362237;-0,06623308;-0,6331762;0,02402803;0,7707942
