"Time (s)";"Magnetic field x (µT)";"Magnetic field y (µT)";"Magnetic field z (µT)"
2.004437526E1;-2.283874512E0;2.494152832E1;-2.828553009E1
2.005437526E1;2.537765503E-1;2.544723511E1;-2.703945923E1
2.006437526E1;1.527790070E0;2.541921997E1;-2.640752029E1
2.007437526E1;1.535842896E0;2.485635376E1;-2.703008270E1
2.008437526E1;1.531230927E0;2.485408020E1;-2.831079865E1
2.009437526E1;9.137992859E-1;2.374406052E1;-2.891133881E1
2.010437526E1;3.443397522E0;2.481262970E1;-2.704271698E1
2.011437526E1;3.433036804E0;2.537436295E1;-2.706051636E1
2.012437526E1;3.433036804E0;2.537436295E1;-2.706051636E1
2.013437526E1;4.663288116E0;2.759213257E1;-2.714012909E1
2.014437526E1;3.226356506E0;2.444913483E1;-2.587388229E1
2.015437526E1;2.523708344E0;2.783182335E1;-2.725717163E1
2.016437526E1;5.673255920E0;2.618108177E1;-2.544761658E1
2.017437526E1;1.198123932E0;2.797170448E1;-2.355046463E1
2.018437526E1;3.956806183E0;2.791885567E1;-2.545773315E1
2.019437526E1;2.035446167E0;2.908944702E1;-2.355962753E1
2.020437526E1;3.938388824E0;2.904345512E1;-2.485297394E1
2.021437526E1;1.486167908E-1;2.800970840E1;-2.351139450E1
2.022437526E1;-6.106071472E-1;3.101064110E1;-2.265522385E1
2.023437526E1;-1.921455383E0;3.328784943E1;-2.207763290E1
2.024437526E1;-1.896118164E0;3.216666031E1;-2.076132965E1
2.025437526E1;-2.492824554E0;2.993317604E1;-2.132628250E1
2.026437526E1;-3.820957184E0;3.276870728E1;-2.268756104E1
2.027437526E1;-6.017131805E0;3.276418304E1;-2.135219193E1
2.028437526E1;-7.294582367E0;3.335733414E1;-2.008086014E1
2.029437526E1;-7.292278290E0;3.335846710E1;-1.944050217E1
2.030437526E1;-7.292278290E0;3.335846710E1;-1.944050217E1
2.031437526E1;-9.192920685E0;3.340559769E1;-1.750680161E1
2.032437526E1;-1.082633972E1;3.309646225E1;-2.054774475E1
2.033437526E1;-1.021121979E1;3.420534897E1;-2.058755112E1
2.034437526E1;-9.539665222E0;3.250785065E1;-1.925765610E1
2.035437526E1;-9.550033569E0;3.306958389E1;-1.927545547E1
2.036437526E1;-1.145065308E1;3.311671448E1;-1.734175491E1
2.037437526E1;-1.145871735E1;3.367958069E1;-1.671919250E1
2.038437526E1;-1.145641327E1;3.368071747E1;-1.607883835E1
2.039437526E1;-1.146446228E1;3.424357986E1;-1.545627594E1
2.040437526E1;-1.463566589E1;3.375358582E1;-1.605778122E1
2.041437526E1;-1.339966583E1;3.540736008E1;-1.740031052E1
2.042437526E1;-1.273386383E1;3.427386475E1;-1.480749893E1
2.043437526E1;-1.273847961E1;3.427159119E1;-1.608821487E1
2.044437526E1;-1.526921844E1;3.376929474E1;-1.541321182E1
2.045437526E1;-1.314168167E1;3.402264023E1;-1.494911575E1
2.046437526E1;-1.505729294E1;3.462922668E1;-1.431392288E1
2.047437526E1;-1.377178574E1;3.347321320E1;-1.620781708E1
2.048437526E1;-1.509068680E1;3.631328583E1;-1.500767136E1
2.049437526E1;-1.508031845E1;3.575155640E1;-1.498987579E1
2.050437526E1;-1.568740463E1;3.407980347E1;-1.557262802E1
