"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.213474792E0,1.171336365E1,-3.972165680E1,-2.678145599E1
9.263474792E0,1.314603043E1,-4.111079025E1,-2.677280998E1
9.313474792E0,1.568830490E1,-4.060281754E1,-2.424602699E1
9.363474792E0,1.376346207E1,-4.000076675E1,-2.617225838E1
9.413474792E0,1.436360931E1,-3.833242416E1,-2.751057625E1
9.463474792E0,1.435324860E1,-3.777069473E1,-2.752837563E1
9.513474792E0,1.438203049E1,-3.945701981E1,-2.811533928E1
9.563474792E0,1.308154297E1,-3.774154282E1,-2.751995277E1
9.613474792E0,1.626885605E1,-3.837727737E1,-2.816356850E1
9.663474792E0,1.440275574E1,-4.058047867E1,-2.807974434E1
9.713474792E0,1.436360931E1,-3.833242416E1,-2.751057625E1
9.763474792E0,1.566409683E1,-4.004789352E1,-2.810596275E1
9.813474792E0,1.435324860E1,-3.777069473E1,-2.752837563E1
9.863474792E0,8.956005096E0,-3.783196259E1,-2.272592163E1
9.913474792E0,1.023693848E1,-3.785656738E1,-2.017292023E1
9.963474792E0,1.025766373E1,-3.898003387E1,-2.013732529E1
1.001347479E1,1.090387726E1,-3.955634308E1,-2.012373734E1
1.006347479E1,9.657531738E0,-3.650412750E1,-2.129611206E1
1.011347479E1,1.095570755E1,-3.822073364E1,-2.253185272E1
