"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.033658438E0,-6.438177228E-1,7.590792656E0,7.807169914E0
7.085376250E0,-8.857610226E-1,7.557255745E0,7.553249359E0
7.137095000E0,-1.041467190E0,7.372803688E0,7.117272377E0
7.188812865E0,-1.130099773E0,7.147628784E0,6.626198769E0
7.240566771E0,-1.978099346E0,7.253029823E0,6.801069260E0
7.292275938E0,-1.822393179E0,7.118883133E0,7.007080078E0
7.343993750E0,-2.188901424E0,7.099719048E0,7.390356064E0
7.395682396E0,-2.713510990E0,7.255425453E0,7.486175537E0
7.447403021E0,-2.265556574E0,7.133255959E0,7.776028633E0
7.499157240E0,-1.829504967E-3,7.037437439E0,7.982039452E0
7.550860469E0,1.572000027E0,7.023063660E0,8.578514099E0
7.602581459E0,-1.158845544E0,6.213392258E0,6.477679253E0
7.654275886E0,-1.436721087E0,6.318793297E0,5.418877602E0
7.705993803E0,3.311420083E-1,6.536782265E0,5.222448349E0
7.757711094E0,1.198305130E0,7.243448257E0,6.082425117E0
7.809428646E0,1.452225924E0,5.231246948E0,6.321972847E0
7.861147657E0,1.124045372E0,4.637167931E0,6.975938797E0
7.912865730E0,2.027140617E0,3.750840425E0,5.826108932E0
7.964584115E0,2.288248062E0,1.841644168E0,9.546287537E0
8.016302084E0,3.766561151E-1,-4.316649437E-1,1.098117924E1
8.068019636E0,1.322870255E0,-1.332364917E0,1.021702099E1
8.119760157E0,-9.046214819E-2,-2.192341805E0,8.252729416E0
8.171489948E0,-2.293999195E-1,-2.855889320E0,1.005891991E1
8.223173698E0,1.059367418E0,-4.511164665E0,1.052843285E1
8.274897292E0,1.957671881E0,-5.196271896E0,9.285180092E0
8.326594636E0,1.076135874E0,-5.248971939E0,9.464840889E0
8.378326303E0,6.521361470E-1,-5.328022957E0,9.445676804E0
8.430047500E0,2.333761930E0,-5.481333733E0,1.057155228E1
8.481762292E0,1.014792919E-2,-4.822576523E0,1.097399235E1
8.533482136E0,1.811547756E0,-4.388995171E0,1.330958462E1
8.585200625E0,1.294124365E0,-3.560159922E0,1.145787907E1
8.636919480E0,1.205491781E0,-1.229359269E0,1.006610584E1
8.688657188E0,-8.138966560E-1,-3.598005772E-1,7.950899124E0
8.740374740E0,-1.585240722E0,5.207291603E0,4.403195381E0
8.792104896E0,1.315683603E0,5.691178322E0,4.685860634E0
8.843824271E0,7.722133398E-2,6.654160500E0,6.889701843E0
8.895531511E0,2.257409692E-1,8.299854279E0,3.227014780E0
8.947236459E0,4.006108642E-1,8.256735802E0,4.934990883E0
8.998970834E0,1.274960518E0,8.678339958E0,3.119218349E0
9.050690573E0,5.347577929E-1,9.265232086E0,2.419738531E0
9.102381198E0,1.078531504E0,8.292668343E0,3.682155848E0
9.154098907E0,4.700797200E-1,8.843627930E0,3.576754808E0
9.205817448E0,6.569271684E-1,8.838837624E0,3.078495264E0
9.257534115E0,-5.503940582E-1,8.982565880E0,4.302584648E0
9.309253438E0,-9.121112823E-1,9.329910278E0,3.655805588E0
9.361005209E0,-5.024844408E-1,9.066407204E0,4.156460762E0
9.412688907E0,-1.120517969E0,8.996938705E0,4.788866997E0
9.464439792E0,-1.096563101E0,9.030475616E0,4.637951851E0
9.516122865E0,-1.070212841E0,9.174203873E0,4.103759766E0
9.567870469E0,-7.396368384E-1,8.824463844E0,4.106155396E0
9.619574063E0,-6.198629141E-1,8.843627930E0,4.185206413E0
9.671304636E0,-9.240886569E-1,9.087966919E0,3.629455328E0
9.722997553E0,-8.785746098E-1,8.905910492E0,4.058245659E0
9.774741303E0,-1.055840015E0,8.949028969E0,4.314561844E0
9.826434844E0,-8.378514647E-1,8.920283318E0,4.096573830E0
9.878151928E0,-7.827554345E-1,8.910700798E0,4.075014114E0
9.929905834E0,-8.785746098E-1,8.929864883E0,4.182810783E0
9.981588959E0,-7.228685021E-1,8.920283318E0,4.213952065E0
1.003330646E1,-9.360660911E-1,8.939447403E0,3.962426424E0
1.008502328E1,-7.516142130E-1,8.599288940E0,4.257070541E0
1.013674281E1,-8.450378776E-1,9.056825638E0,3.983986139E0
